ID,Label,Name,Category,Type,Text,Front Image,Back Image,Use Count
Devices_Camera,Camera,Camera,Devices,,,\VisitorBox Cards\cards-21_04_2020_079.png,\VisitorBox Cards\devices_back.png,4
Devices_Computer,Computer,Computer,Devices,,,\VisitorBox Cards\cards-21_04_2020_081.png,\VisitorBox Cards\devices_back.png,8
Devices_Dumb_Phone,Dumb_Phone,Dumb_Phone,Devices,,,\VisitorBox Cards\cards-21_04_2020_083.png,\VisitorBox Cards\devices_back.png,0
Devices_Gaming_Console,Gaming_Console,Gaming_Console,Devices,,,\VisitorBox Cards\cards-21_04_2020_085.png,\VisitorBox Cards\devices_back.png,4
Devices_Health_Tracker,Health_Tracker,Health_Tracker,Devices,,,\VisitorBox Cards\cards-21_04_2020_087.png,\VisitorBox Cards\devices_back.png,0
Devices_Smart_Phone,Smart_Phone,Smart_Phone,Devices,,,\VisitorBox Cards\cards-21_04_2020_089.png,\VisitorBox Cards\devices_back.png,9
Devices_Smart_Watch,Smart_Watch,Smart_Watch,Devices,,,\VisitorBox Cards\cards-21_04_2020_091.png,\VisitorBox Cards\devices_back.png,3
Devices_Tablet,Tablet,Tablet,Devices,,,\VisitorBox Cards\cards-21_04_2020_093.png,\VisitorBox Cards\devices_back.png,5
Devices_Virtual_Reality_System,Virtual_Reality_System,Virtual_Reality_System,Devices,,,\VisitorBox Cards\cards-21_04_2020_095.png,\VisitorBox Cards\devices_back.png,0
Motivations_Aesthetic_Pleasure,Aesthetic_Pleasure,Aesthetic_Pleasure,Motivations,,,\VisitorBox Cards\cards-21_04_2020_097.png,\VisitorBox Cards\motivations_back.png,2
Motivations_Cultural_Identity,Cultural_Identity,Cultural_Identity,Motivations,,,\VisitorBox Cards\cards-21_04_2020_099.png,\VisitorBox Cards\motivations_back.png,1
Motivations_Curiosity,Curiosity,Curiosity,Motivations,,,\VisitorBox Cards\cards-21_04_2020_101.png,\VisitorBox Cards\motivations_back.png,4
Motivations_Nostalgia,Nostalgia,Nostalgia,Motivations,,,\VisitorBox Cards\cards-21_04_2020_103.png,\VisitorBox Cards\motivations_back.png,0
Motivations_Personal_Relevance,Personal_Relevance,Personal_Relevance,Motivations,,,\VisitorBox Cards\cards-21_04_2020_105.png,\VisitorBox Cards\motivations_back.png,0
Motivations_Time_Travel,Time_Travel,Time_Travel,Motivations,,,\VisitorBox Cards\cards-21_04_2020_107.png,\VisitorBox Cards\motivations_back.png,1
Motivations_To_Be_Moved,To_Be_Moved,To_Be_Moved,Motivations,,,\VisitorBox Cards\cards-21_04_2020_109.png,\VisitorBox Cards\motivations_back.png,0
Motivations_Wonder,Wonder,Wonder,Motivations,,,\VisitorBox Cards\cards-21_04_2020_111.png,\VisitorBox Cards\motivations_back.png,2
Motivations_Academic_Interest,Academic_Interest,Academic_Interest,Motivations,,,\VisitorBox Cards\cards-21_04_2020_113.png,\VisitorBox Cards\motivations_back.png,1
Motivations_Self_Improvement,Self_Improvement,Self_Improvement,Motivations,,,\VisitorBox Cards\cards-21_04_2020_115.png,\VisitorBox Cards\motivations_back.png,1
Motivations_Stimulate_The_Children,Stimulate_The_Children,Stimulate_The_Children,Motivations,,,\VisitorBox Cards\cards-21_04_2020_117.png,\VisitorBox Cards\motivations_back.png,0
Motivations_Comfort_And_Warmth,Comfort_And_Warmth,Comfort_And_Warmth,Motivations,,,\VisitorBox Cards\cards-21_04_2020_119.png,\VisitorBox Cards\motivations_back.png,0
Motivations_Entertainment,Entertainment,Entertainment,Motivations,,,\VisitorBox Cards\cards-21_04_2020_121.png,\VisitorBox Cards\motivations_back.png,2
Motivations_Inclusion,Inclusion,Inclusion,Motivations,,,\VisitorBox Cards\cards-21_04_2020_123.png,\VisitorBox Cards\motivations_back.png,0
Motivations_Social_Interaction,Social_Interaction,Social_Interaction,Motivations,,,\VisitorBox Cards\cards-21_04_2020_125.png,\VisitorBox Cards\motivations_back.png,2
Motivations_To_Make_And_Do,To_Make_And_Do,To_Make_And_Do,Motivations,,,\VisitorBox Cards\cards-21_04_2020_127.png,\VisitorBox Cards\motivations_back.png,2
Motivations_Contemplation,Contemplation,Contemplation,Motivations,,,\VisitorBox Cards\cards-21_04_2020_129.png,\VisitorBox Cards\motivations_back.png,0
Motivations_Escapism,Escapism,Escapism,Motivations,,,\VisitorBox Cards\cards-21_04_2020_131.png,\VisitorBox Cards\motivations_back.png,1
Motivations_Stimulation,Stimulation,Stimulation,Motivations,,,\VisitorBox Cards\cards-21_04_2020_133.png,\VisitorBox Cards\motivations_back.png,4
Beyond_Evaluation,Evaluation,Evaluation,Beyond,,,\VisitorBox Cards\cards-21_04_2020_135.png,\VisitorBox Cards\beyond_back.png,0
Beyond_Infinite_Archive,Infinite_Archive,Infinite_Archive,Beyond,,,\VisitorBox Cards\cards-21_04_2020_137.png,\VisitorBox Cards\beyond_back.png,0
Beyond_Moderation,Moderation,Moderation,Beyond,,,\VisitorBox Cards\cards-21_04_2020_139.png,\VisitorBox Cards\beyond_back.png,0
Beyond_Replay,Replay,Replay,Beyond,,,\VisitorBox Cards\cards-21_04_2020_141.png,\VisitorBox Cards\beyond_back.png,0
Beyond_Shelf_Life,Shelf_Life,Shelf_Life,Beyond,,,\VisitorBox Cards\cards-21_04_2020_143.png,\VisitorBox Cards\beyond_back.png,0
Beyond_My_Content,My_Content,My_Content,Beyond,,,\VisitorBox Cards\cards-21_04_2020_145.png,\VisitorBox Cards\beyond_back.png,0
Beyond_My_Data,My_Data,My_Data,Beyond,,,\VisitorBox Cards\cards-21_04_2020_147.png,\VisitorBox Cards\beyond_back.png,0
Beyond_Their_Content,Their_Content,Their_Content,Beyond,,,\VisitorBox Cards\cards-21_04_2020_149.png,\VisitorBox Cards\beyond_back.png,0
Beyond_Funding,Funding,Funding,Beyond,,,\VisitorBox Cards\cards-21_04_2020_151.png,\VisitorBox Cards\beyond_back.png,0
Beyond_Reliance,Reliance,Reliance,Beyond,,,\VisitorBox Cards\cards-21_04_2020_153.png,\VisitorBox Cards\beyond_back.png,0
Beyond_Replicability,Replicability,Replicability,Beyond,,,\VisitorBox Cards\cards-21_04_2020_155.png,\VisitorBox Cards\beyond_back.png,0
Beyond_Scalability,Scalability,Scalability,Beyond,,,\VisitorBox Cards\cards-21_04_2020_157.png,\VisitorBox Cards\beyond_back.png,0
Beyond_Big_Challenges,Big_Challenges,Big_Challenges,Beyond,,,\VisitorBox Cards\cards-21_04_2020_159.png,\VisitorBox Cards\beyond_back.png,0
Beyond_Social_Network,Social_Network,Social_Network,Beyond,,,\VisitorBox Cards\cards-21_04_2020_161.png,\VisitorBox Cards\beyond_back.png,0
Beyond_Energy_Use,Energy_Use,Energy_Use,Beyond,,,\VisitorBox Cards\cards-21_04_2020_163.png,\VisitorBox Cards\beyond_back.png,0
Beyond_Fashion,Fashion,Fashion,Beyond,,,\VisitorBox Cards\cards-21_04_2020_165.png,\VisitorBox Cards\beyond_back.png,0
Beyond_Maintenance,Maintenance,Maintenance,Beyond,,,\VisitorBox Cards\cards-21_04_2020_167.png,\VisitorBox Cards\beyond_back.png,0
Beyond_Responsibility,Responsibility,Responsibility,Beyond,,,\VisitorBox Cards\cards-21_04_2020_169.png,\VisitorBox Cards\beyond_back.png,0
Beyond_Support,Support,Support,Beyond,,,\VisitorBox Cards\cards-21_04_2020_171.png,\VisitorBox Cards\beyond_back.png,0
Beyond_Relocation,Relocation,Relocation,Beyond,,,\VisitorBox Cards\cards-21_04_2020_173.png,\VisitorBox Cards\beyond_back.png,0
Constraints_Flow,Flow,Flow,Constraints,,,\VisitorBox Cards\cards-21_04_2020_175.png,\VisitorBox Cards\constraints_back.png,0
Constraints_Theft,Theft,Theft,Constraints,,,\VisitorBox Cards\cards-21_04_2020_177.png,\VisitorBox Cards\constraints_back.png,0
Constraints_Distraction,Distraction,Distraction,Constraints,,,\VisitorBox Cards\cards-21_04_2020_179.png,\VisitorBox Cards\constraints_back.png,0
Constraints_Peace,Peace,Peace,Constraints,,,\VisitorBox Cards\cards-21_04_2020_181.png,\VisitorBox Cards\constraints_back.png,0
Constraints_Politics_And_Policies,Politics_And_Policies,Politics_And_Policies,Constraints,,,\VisitorBox Cards\cards-21_04_2020_183.png,\VisitorBox Cards\constraints_back.png,0
Constraints_Accessibility,Accessibility,Accessibility,Constraints,,,\VisitorBox Cards\cards-21_04_2020_185.png,\VisitorBox Cards\constraints_back.png,0
Constraints_Capacity,Capacity,Capacity,Constraints,,,\VisitorBox Cards\cards-21_04_2020_187.png,\VisitorBox Cards\constraints_back.png,0
Constraints_Dynamic_Spaces,Dynamic_Spaces,Dynamic_Spaces,Constraints,,,\VisitorBox Cards\cards-21_04_2020_189.png,\VisitorBox Cards\constraints_back.png,0
Constraints_Legibility,Legibility,Legibility,Constraints,,,\VisitorBox Cards\cards-21_04_2020_191.png,\VisitorBox Cards\constraints_back.png,0
Constraints_Safe_Space,Safe_Space,Safe_Space,Constraints,,,\VisitorBox Cards\cards-21_04_2020_193.png,\VisitorBox Cards\constraints_back.png,0
Constraints_Conservation,Conservation,Conservation,Constraints,,,\VisitorBox Cards\cards-21_04_2020_195.png,\VisitorBox Cards\constraints_back.png,0
Constraints_Redundant_Guides,Redundant_Guides,Redundant_Guides,Constraints,,,\VisitorBox Cards\cards-21_04_2020_197.png,\VisitorBox Cards\constraints_back.png,0
Constraints_Risk,Risk,Risk,Constraints,,,\VisitorBox Cards\cards-21_04_2020_199.png,\VisitorBox Cards\constraints_back.png,0
